Drug A,Drug B,nAB1,Lift,Conviction
Amikacin sulfate,Human haptoglobin,3,1200.0,1.25
Acyclovir,Human haptoglobin,3,703.125,1.23
Human haptoglobin,Melphalan,4,312.5,1.043
Amikacin sulfate,Melphalan,5,291.262,1.051
Hydroxyzine hydrochloride,Polymyxin B sulfate,3,290.323,1.051
Didanosine,Nelfinavir Mesylate,3,250.0,1.026
Acyclovir,Melphalan,8,243.902,1.069
Hydrocortisone sodium succinate,Melphalan,5,242.718,1.051
Hydroxyzine hydrochloride,Melphalan,4,242.424,1.042
Amphotericin B,Melphalan,5,240.385,1.05
Cefpirome sulfate,Melphalan,4,240.0,1.041
Ceftazidime hydrate,Melphalan,4,237.624,1.041
Hydrocortisone sodium succinate,Polymyxin B sulfate,3,227.273,1.047
Acyclovir,Polymyxin B sulfate,4,208.333,1.059
Efavirenz,Nelfinavir Mesylate,4,198.347,1.034
Amphotericin B,Polymyxin B sulfate,3,176.471,1.036
Etoposide,Melphalan,3,163.636,1.028
Dexamethasone sodium phosphate,Hangeshashinto,3,161.002,1.075
Filgrastim (genetical recombination),Hangeshashinto,3,142.857,1.071
Melphalan,Polymyxin B sulfate,4,140.845,1.059
Didanosine,Sanilvudine,3,129.87,1.013
Granisetron hydrochloride,Hangeshashinto,3,126.05,1.076
Fluconazole,Melphalan,5,125.0,1.043
Hydrocortisone sodium succinate,Hydroxyzine hydrochloride,4,116.959,1.024
Abacavir sulfate,Lopinavir/ritonavir,3,111.111,1.019
Allopurinol,Melphalan,7,111.111,1.071
Lopinavir/ritonavir,Sanilvudine,7,111.111,1.026
Albumin tannate,Loperamide hydrochloride,4,109.19,1.026
Efavirenz,Sanilvudine,5,103.093,1.017
Lenograstim (genetical recombination),Melphalan,4,101.954,1.038
Amphotericin B,Cefpirome sulfate,3,97.403,1.02
Bifidobacterium preparations (4),Melphalan,3,95.745,1.033
Filgrastim (genetical recombination),Melphalan,5,95.663,1.046
Nelfinavir Mesylate,Sanilvudine,6,93.848,1.022
Acyclovir,Amphotericin B,5,91.912,1.025
Amphotericin B,Sodium bicarbonate,3,91.463,1.018
Acyclovir,Sodium bicarbonate,4,89.286,1.024
Hydrocortisone sodium succinate,Sodium bicarbonate,3,86.705,1.017
Hangeshashinto,Irinotecan hydrochloride hydrate,8,85.745,1.026
Lamivudine,Nelfinavir Mesylate,7,85.227,1.041
Acyclovir,Amikacin sulfate,4,83.799,1.023
Levofloxacin hydrate,Melphalan,3,83.488,1.031
Dry concentrated human blood coagulation factor 8,Lamivudine,3,82.192,1.008
Granisetron hydrochloride,Melphalan,5,80.95,1.047
"Amino acids, sugars, and electrolytes (2-3)",Irinotecan hydrochloride hydrate,4,80.808,1.013
Didanosine,Lamivudine,3,78.947,1.008
Fluconazole,Ondansetron hydrochloride hydrate,3,78.261,1.026
Human haptoglobin,Hydrocortisone sodium succinate,3,78.125,1.01
Cholestyramine,Leflunomide,3,77.72,1.008
Hangeshashinto,Nilvadipine,3,77.519,1.024
Lactomin,Loperamide hydrochloride,7,76.726,1.045
Abacavir sulfate,Sanilvudine,3,74.38,1.012
Acyclovir,Cefpirome sulfate,3,73.052,1.02
Imipenem hydrate/cilastatin sodium,Irinotecan hydrochloride hydrate,5,72.639,1.017
Cefepime hydrochloride hydrate,Irinotecan hydrochloride hydrate,5,71.908,1.017
Daikenchuyu,Tegafur/uracil,5,71.023,1.014
Acyclovir,Hydroxyzine hydrochloride,3,70.755,1.019
Dexamethasone sodium phosphate,Melphalan,3,69.231,1.03
Albumin tannate,Lactomin,4,68.027,1.016
Dopamine hydrochloride,Irinotecan hydrochloride hydrate,4,67.797,1.014
Carbazochrome Sodium Sulfonate Hydrate,Irinotecan hydrochloride hydrate,4,67.797,1.014
Metoclopramide hydrochloride,Ondansetron hydrochloride hydrate,3,67.064,1.025
Amphotericin B,Ceftazidime hydrate,3,66.372,1.013
Acyclovir,Ceftazidime hydrate,4,65.217,1.017
Allopurinol,Polymyxin B sulfate,3,64.935,1.04
Hydroxyzine hydrochloride,Lenograstim (genetical recombination),3,64.748,1.011
Lenograstim (genetical recombination),Sodium bicarbonate,4,64.551,1.024
Amikacin sulfate,Metoclopramide hydrochloride,3,64.516,1.011
Isosorbide dinitrate,Levothyroxine Sodium Hydrate,3,63.158,1.01
Efavirenz,Lamivudine,5,62.5,1.01
Human serum albumin,Irinotecan hydrochloride hydrate,3,61.433,1.01
Calcium folinate,Tegafur/uracil,44,61.055,1.102
Ceftazidime hydrate,Hydrocortisone sodium succinate,3,61.017,1.01
Melphalan,Sodium bicarbonate,4,60.606,1.024
Granisetron hydrochloride,Loperamide hydrochloride,5,57.67,1.033
Lamivudine,Ritonavir,3,56.391,1.027
Methylprednisolone sodium succinate,Panipenem/Betamipron,5,55.371,1.017
Candesartan Cilexetil,Carbazochrome Sodium Sulfonate Hydrate,3,55.351,1.011
Lenograstim (genetical recombination),Loperamide hydrochloride,3,55.283,1.02
Cefpirome sulfate,Granisetron hydrochloride,4,54.92,1.009
Amikacin sulfate,Bifidobacterium preparations (4),3,54.217,1.009
Fluconazole,Sodium bicarbonate,3,53.892,1.018
Dexamethasone sodium phosphate,Nilvadipine,3,53.667,1.023
Hydrocortisone sodium succinate,Lenograstim (genetical recombination),3,53.191,1.011
Nilvadipine,Tegafur/uracil,3,52.941,1.009
Cefpirome sulfate,Filgrastim (genetical recombination),3,51.282,1.008
Dopamine hydrochloride,Panipenem/Betamipron,3,51.195,1.01
Acyclovir,Hydrocortisone sodium succinate,4,50.847,1.013
Human haptoglobin,Sulfamethoxazole-trimethoprim,4,50.083,1.007
Amphotericin B,Hydrocortisone sodium succinate,3,49.669,1.01
Sodium heparin,Sulfamethoxazole-trimethoprim,3,49.261,1.005
Amikacin sulfate,Filgrastim (genetical recombination),3,48.387,1.008
Minocycline hydrochloride,Panipenem/Betamipron,3,48.077,1.01
Polymyxin B sulfate,Sulfamethoxazole-trimethoprim,4,47.771,1.006
Metoclopramide hydrochloride,Sodium bicarbonate,3,47.294,1.017
Gefitinib,Morphine sulfate hydrate,3,47.269,1.011
Dexamethasone sodium phosphate,Loperamide hydrochloride,3,46.778,1.02
Filgrastim (genetical recombination),Human serum albumin,4,46.584,1.022
Lamivudine,Sanilvudine,8,45.837,1.021
Calcium Levofolinate,Fluorouracil,33,45.732,1.052
Betamethasone,Gefitinib,3,45.662,1.004
Calcium folinate,Hangeshashinto,3,45.501,1.073
