Drug A,Drug B,nAB1,Lift,Conviction
Loratadine,"Thiamine disulfide, B6, and B12 combination",4,434.783,1.061
Afroqualone,General cold medicine,3,333.333,1.071
Extract from inflamed skin of rabbits inoculated with vaccinia virus,Indapamide,6,317.46,1.08
Fluvoxamine Maleate,General cold medicine,3,279.503,1.07
Sulfamethoxazole-trimethoprim,Sultamicillin Tosilate Hydrate,3,263.158,1.055
Insulin Aspart (genetically recombinant),Lisinopril hydrate,3,260.87,1.027
Flomoxef sodium,Indapamide,10,252.101,1.133
Domperidone,General cold medicine,3,250.0,1.071
Diltiazem hydrochloride,Indapamide,10,249.169,1.131
Acetaminophen,Afroqualone,6,221.675,1.26
Cefepime hydrochloride hydrate,Indapamide,10,220.588,1.133
Alimemazine tartrate,Procaterol hydrochloride hydrate,3,218.978,1.022
Cefpirome sulfate,Mefenamic acid,3,217.391,1.022
Ethyl loflazepate,General cold medicine,3,217.391,1.069
Fosfomycin sodium,"Thiamine disulfide, B6, and B12 combination",4,211.268,1.059
Afroqualone,Ethyl loflazepate,6,196.078,1.041
Alimemazine tartrate,Cefditoren pivoxil,3,185.185,1.019
Argatroban hydrate,Imidapril Hydrochloride,3,184.049,1.019
Alimemazine tartrate,Tipepidine hibenzate,3,182.927,1.019
Edaravone,Imidapril Hydrochloride,3,181.818,1.018
Candesartan Cilexetil,Indapamide,10,177.305,1.118
Azithromycin Hydrate,Indapamide,10,174.419,1.131
Ethambutol Hydrochloride,Pyrazinamide,5,169.492,1.029
Glimepiride,Mefenamic acid,3,164.234,1.022
Imidapril Hydrochloride,Roxatidine Acetate Hydrochloride,4,153.846,1.021
Argatroban hydrate,Roxatidine Acetate Hydrochloride,3,152.284,1.015
Argatroban hydrate,Nicardipine hydrochloride,3,149.254,1.015
Edaravone,Roxatidine Acetate Hydrochloride,3,147.059,1.015
Domperidone,Ethyl loflazepate,6,146.104,1.04
Fosfomycin sodium,Loratadine,4,145.631,1.04
Edaravone,Nicardipine hydrochloride,3,144.231,1.015
Cefpirome sulfate,Phenobarbital,3,129.87,1.013
Extract from inflamed skin of rabbits inoculated with vaccinia virus,Flomoxef sodium,6,124.224,1.03
Argatroban hydrate,Edaravone,3,122.449,1.012
Isoniazid,Pyrazinamide,6,120.968,1.033
Argatroban hydrate,Cefepime hydrochloride hydrate,3,113.636,1.011
Procaterol hydrochloride hydrate,Tipepidine hibenzate,4,112.994,1.023
Oseltamivir phosphate,"Thiamine disulfide, B6, and B12 combination",4,112.676,1.059
Cefmetazole Sodium,Lisinopril hydrate,3,111.801,1.027
Imidapril Hydrochloride,Nicardipine hydrochloride,3,111.386,1.015
Insulin Aspart (genetically recombinant),Metoclopramide hydrochloride,3,109.489,1.011
Lisinopril hydrate,Metoclopramide hydrochloride,3,109.489,1.011
Cefpirome sulfate,Metoclopramide hydrochloride,3,107.914,1.011
Felodipine,Zonisamide,3,105.634,1.014
Afroqualone,Fluvoxamine Maleate,6,104.167,1.021
Nitroglycerin,Telithromycin,8,102.74,1.028
Diltiazem hydrochloride,Flomoxef sodium,10,102.529,1.05
Glimepiride,Phenobarbital,3,98.684,1.013
Felodipine,Phenobarbital,3,98.684,1.013
Pyrazinamide,Rifampin,6,97.403,1.02
Cefepime hydrochloride hydrate,Flomoxef sodium,11,95.93,1.053
Extract from inflamed skin of rabbits inoculated with vaccinia virus,Telithromycin,6,89.91,1.021
Afroqualone,Domperidone,6,89.82,1.018
Azulenesulfonic acid sodium hydrate/L-glutamine,Phenytoin sodium,3,89.286,1.027
Alimemazine tartrate,Tranexamic acid,3,87.464,1.009
Candesartan Cilexetil,Flomoxef sodium,11,86.888,1.054
Nitroglycerin,Piperacillin Sodium,8,86.455,1.023
Loratadine,Tranexamic acid,4,86.207,1.011
Indapamide,Telithromycin,10,85.911,1.035
Cefditoren pivoxil,Tipepidine hibenzate,4,84.27,1.023
Glimepiride,Metoclopramide hydrochloride,3,81.818,1.011
Cefditoren pivoxil,Procaterol hydrochloride hydrate,3,80.935,1.022
Isosorbide mononitrate,Telithromycin,10,78.761,1.035
Candesartan Cilexetil,Cefepime hydrochloride hydrate,13,78.502,1.049
Ethambutol Hydrochloride,Rifampin,5,78.329,1.013
Brotizolam,Milnacipran hydrochloride,3,78.125,1.016
Cholestyramine,Leflunomide,3,77.72,1.008
Extract from inflamed skin of rabbits inoculated with vaccinia virus,Isosorbide mononitrate,6,77.453,1.018
Extract from inflamed skin of rabbits inoculated with vaccinia virus,Piperacillin Sodium,6,76.078,1.018
Domperidone,Fluvoxamine Maleate,6,75.758,1.02
Ethyl loflazepate,Fluvoxamine Maleate,7,75.269,1.023
Loratadine,Oseltamivir phosphate,4,74.442,1.01
Indapamide,Isosorbide mononitrate,10,74.405,1.03
Flomoxef sodium,Telithromycin,10,73.386,1.035
Diltiazem hydrochloride,Telithromycin,10,73.386,1.035
Indapamide,Piperacillin Sodium,10,73.314,1.03
Azithromycin Hydrate,Flomoxef sodium,10,71.09,1.049
Diltiazem hydrochloride,Extract from inflamed skin of rabbits inoculated with vaccinia virus,6,71.034,1.034
Mecobalamin,Zonisamide,3,68.807,1.014
"Thiamine disulfide, B6, and B12 combination",Tranexamic acid,4,68.768,1.011
Acetaminophen,General cold medicine,3,68.389,1.067
Isosorbide mononitrate,Piperacillin Sodium,10,67.084,1.029
Mefenamic acid,Phenobarbital,3,65.502,1.013
Nicardipine hydrochloride,Roxatidine Acetate Hydrochloride,3,64.935,1.015
Lisinopril hydrate,Mosapride Citrate Hydrate,3,64.795,1.006
Cefepime hydrochloride hydrate,Telithromycin,10,64.655,1.035
Afroqualone,Mosapride Citrate Hydrate,6,64.655,1.013
Insulin Aspart (genetically recombinant),Mosapride Citrate Hydrate,3,64.378,1.006
Flomoxef sodium,Isosorbide mononitrate,10,63.776,1.03
Amlodipine besylate,Argatroban hydrate,3,63.158,1.041
Cefepime hydrochloride hydrate,Extract from inflamed skin of rabbits inoculated with vaccinia virus,6,62.849,1.034
Fluvoxamine Maleate,Mosapride Citrate Hydrate,7,62.63,1.015
Diltiazem hydrochloride,Isosorbide mononitrate,11,62.358,1.029
Diltiazem hydrochloride,Piperacillin Sodium,10,62.112,1.029
Flomoxef sodium,Piperacillin Sodium,10,61.932,1.029
Cefpirome sulfate,Glimepiride,3,60.852,1.006
Ceftriaxone sodium hydrate,Non-pirin cold medicine (4),3,60.852,1.006
Acetaminophen,"Thiamine disulfide, B6, and B12 combination",4,60.362,1.059
Indapamide,Nitroglycerin,8,60.06,1.024
Cefmetazole Sodium,Insulin Aspart (genetically recombinant),3,59.524,1.014
Lansoprazole,Lisinopril hydrate,3,58.177,1.025
Minocycline hydrochloride,Phenobarbital,4,57.971,1.017
Phenytoin sodium,Zonisamide,3,57.655,1.013
Ethambutol Hydrochloride,Isoniazid,5,57.252,1.009
Isoniazid,Rifampin,6,56.818,1.015
Cefpirome sulfate,Voglibose,3,56.497,1.006
Candesartan Cilexetil,Telithromycin,10,56.306,1.034
Metoclopramide hydrochloride,Phenobarbital,3,56.145,1.013
Cefepime hydrochloride hydrate,Isosorbide mononitrate,10,55.804,1.03
Argatroban hydrate,Sodium valproate,3,55.147,1.005
Edaravone,Sodium valproate,3,54.945,1.005
Mefenamic acid,Metoclopramide hydrochloride,3,54.745,1.011
Felodipine,Minocycline hydrochloride,3,54.479,1.007
Azithromycin Hydrate,Cefepime hydrochloride hydrate,10,54.348,1.037
Piperacillin Sodium,Telithromycin,10,54.074,1.035
Cefepime hydrochloride hydrate,Piperacillin Sodium,10,53.725,1.029
Candesartan Cilexetil,Extract from inflamed skin of rabbits inoculated with vaccinia virus,6,53.476,1.033
Extract from inflamed skin of rabbits inoculated with vaccinia virus,Nitroglycerin,4,52.106,1.012
L-Carbocysteine,Procaterol hydrochloride hydrate,4,51.569,1.022
Cefepime hydrochloride hydrate,Diltiazem hydrochloride,10,51.511,1.028
Flomoxef sodium,Nitroglycerin,8,51.02,1.024
Cefcapene Pivoxil Hydrochloride Hydrate,"Thiamine disulfide, B6, and B12 combination",4,50.676,1.056
Azithromycin Hydrate,Telithromycin,10,50.336,1.034
Azithromycin Hydrate,Extract from inflamed skin of rabbits inoculated with vaccinia virus,6,50.0,1.034
Isosorbide mononitrate,Nitroglycerin,8,49.762,1.022
Mizoribine,Sulfamethoxazole-trimethoprim,3,49.751,1.005
Ethyl loflazepate,Mosapride Citrate Hydrate,7,49.435,1.015
Candesartan Cilexetil,Piperacillin Sodium,10,47.483,1.029
Cefmetazole Sodium,Metoclopramide hydrochloride,3,46.924,1.011
Non-pirin cold medicine (4),Tiaramide hydrochloride,3,46.875,1.038
Ibuprofen,Serrapeptase,3,46.875,1.009
Diltiazem hydrochloride,Nitroglycerin,8,46.711,1.022
Domperidone,Mosapride Citrate Hydrate,6,46.488,1.012
Minocycline hydrochloride,Zonisamide,3,46.296,1.014
Alimemazine tartrate,Clarithromycin,3,45.942,1.005
Disopyramide phosphate,Enalapril Maleate,3,45.547,1.006
Cefepime hydrochloride hydrate,Nitroglycerin,8,44.91,1.024
Candesartan Cilexetil,Isosorbide mononitrate,10,44.683,1.027
