antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
Basiliximab (genetical recombination),frozenset({'Mycophenolate mofetil'}),0.004066666666666666,0.010866666666666667,0.0036333333333333335,0.8934426229508198,82.21864628381778,1.0,0.0035891422222222224,9.282635897435906,0.9918709172653807,0.32153392330383485,0.8922719784499762,0.6138992255858393
Calcium Levofolinate,frozenset({'Fluorouracil'}),0.007366666666666666,0.014533333333333334,0.007333333333333333,0.995475113122172,68.49599402216779,1.0,0.007226271111111111,217.78813333333412,0.9927135962194225,0.5034324942791762,0.9954083816014463,0.7500311345427373
Oxaliplatin,frozenset({'Calcium Levofolinate'}),0.004066666666666666,0.007366666666666666,0.004033333333333333,0.9918032786885247,134.63392923373638,1.0,0.0040033755555555555,121.10126666666818,0.9966253950638934,0.545045045045045,0.9917424480558696,0.7696572954528597
Doxorubicin hydrochloride,frozenset({'Cyclophosphamide hydrate'}),0.01,0.0204,0.007066666666666666,0.7066666666666667,34.64052287581699,1.0,0.006862666666666666,3.339545454545455,0.9809414903754526,0.30285714285714277,0.7005580509051313,0.5265359477124183
Vincristine sulfate,frozenset({'Cyclophosphamide hydrate'}),0.013266666666666666,0.0204,0.010066666666666666,0.7587939698492463,37.195782835747366,1.0,0.009796026666666666,4.061258333333335,0.9861988025688257,0.42655367231638425,0.7537708961303046,0.626129011068414
Dobutamine hydrochloride,frozenset({'Dopamine hydrochloride'}),0.004166666666666667,0.012233333333333334,0.0035,0.8400000000000001,68.66485013623979,1.0,0.003449027777777778,6.17354166666667,0.9895596732416817,0.2713178294573643,0.8380184254041103,0.5630517711171663
Doxorubicin hydrochloride,frozenset({'Vincristine sulfate'}),0.01,0.013266666666666666,0.0071333333333333335,0.7133333333333334,53.76884422110553,1.0,0.007000666666666667,3.4420930232558145,0.9913150193524025,0.44214876033057854,0.7094790892507263,0.6255108877721943
Efavirenz,frozenset({'Lamivudine'}),0.0055,0.011533333333333333,0.0044666666666666665,0.8121212121212121,70.41513399894903,1.0,0.0044032333333333335,5.261193548387097,0.9912503845778649,0.3554376657824935,0.8099290606203671,0.5997022245577159
Ethambutol Hydrochloride,frozenset({'Isoniazid'}),0.006533333333333334,0.012566666666666667,0.0049,0.7499999999999999,59.68169761273209,1.0,0.004817897777777778,3.9497333333333318,0.9897105533932805,0.34507042253521125,0.746818350605948,0.5699602122015914
Ethambutol Hydrochloride,frozenset({'Rifampin'}),0.006533333333333334,0.0075,0.005266666666666667,0.8061224489795918,107.48299319727892,1.0,0.005217666666666667,5.11921052631579,0.9972113164658893,0.6007604562737644,0.8046573793245257,0.7541723356009071
Rifampin,frozenset({'Ethambutol Hydrochloride'}),0.0075,0.006533333333333334,0.005266666666666667,0.7022222222222223,107.48299319727892,1.0,0.005217666666666667,3.336268656716419,0.9981825718202978,0.6007604562737644,0.7002639466738246,0.7541723356009071
Oxaliplatin,frozenset({'Fluorouracil'}),0.004066666666666666,0.014533333333333334,0.004,0.9836065573770493,67.67935027823734,1.0,0.003940897777777778,60.11346666666701,0.9892473838052523,0.27397260273972607,0.9833647923593383,0.6294179575876072
Folic acid,frozenset({'Infliximab (genetical recombination)'}),0.009766666666666667,0.022266666666666667,0.0069,0.7064846416382252,31.72835216938137,1.0,0.006682528888888889,3.33111472868217,0.9780345854496143,0.27453580901856767,0.6998001925933027,0.5081824405795916
